Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\controller-board-v0.2\Project Outputs for controller-board-v0.2\Pick Place for controller_board.txt

========================================================================================================================
File Design Information:

Date:       19.03.24
Time:       12:02
Revision:   3c405d20af9ee436d1b731cf01571d89839ad84f
Variant:    No variations
Units used: mil

Designator Comment                  Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                      
D26        MM3Z3V3T1G               TopLayer    ONSC-SOD-323-2-477-02_V       4437.008      204.724       180      "Zener Voltage Regulator, 300 mW, 2-Pin SOD-323, Pb-Free, Tape and Reel"                                                                         
D25        US1M-TP                  TopLayer    DO214AC_SMA                   5216.535      216.535       270      "DIODE GEN PURP 1KV 1A DO214AC"                                                                                                                  
C169       CC0603JRX7R9BB104        TopLayer    CAP_0603_1608                 2795.276      862.205       270      "CAP CER 0.1UF 50V X7R 0603"                                                                                                                     
C40        CL10A106MQ8NNNC          TopLayer    CAP_0603_1608                 2858.268      862.205       270      "CAP CER 10UF 6.3V X5R 0603"                                                                                                                     
C39        CL10A106MQ8NNNC          TopLayer    CAP_0603_1608                 2858.268      1043.307      90       "CAP CER 10UF 6.3V X5R 0603"                                                                                                                     
C26        CC0603JRX7R9BB104        TopLayer    CAP_0603_1608                 2795.276      1043.307      90       "CAP CER 0.1UF 50V X7R 0603"                                                                                                                     
TP31       TPAD1200                 BottomLayer TPAD1200                      401.575       413.386       90       "1.2mm round"                                                                                                                                    
TP30       TPAD1200                 BottomLayer TPAD1200                      532.441       704.095       90       "1.2mm round"                                                                                                                                    
TP29       TPAD1200                 BottomLayer TPAD1200                      649.606       704.724       90       "1.2mm round"                                                                                                                                    
TP28       TPAD1200                 BottomLayer TPAD1200                      766.741       704.095       90       "1.2mm round"                                                                                                                                    
TP27       TPAD1200                 BottomLayer TPAD1200                      885.827       704.724       90       "1.2mm round"                                                                                                                                    
TP26       TPAD1200                 BottomLayer TPAD1200                      1003.937      704.724       90       "1.2mm round"                                                                                                                                    
TP25       TPAD1200                 BottomLayer TPAD1200                      2240.157      1468.504      90       "1.2mm round"                                                                                                                                    
TP24       TPAD1200                 BottomLayer TPAD1200                      1709.606      797.953       90       "1.2mm round"                                                                                                                                    
TP23       TPAD1200                 BottomLayer TPAD1200                      523.622       3027.559      90       "1.2mm round"                                                                                                                                    
TP22       TPAD1200                 BottomLayer TPAD1200                      4830.499      2980.315      90       "1.2mm round"                                                                                                                                    
TP21       TPAD1200                 BottomLayer TPAD1200                      4834.646      2708.661      90       "1.2mm round"                                                                                                                                    
TP20       TPAD1200                 BottomLayer TPAD1200                      4826.772      3334.646      90       "1.2mm round"                                                                                                                                    
TP19       TPAD1200                 BottomLayer TPAD1200                      4828.409      3081.838      90       "1.2mm round"                                                                                                                                    
TP17       TPAD1200                 BottomLayer TPAD1200                      2717.690      908.819       90       "1.2mm round"                                                                                                                                    
TP16       TPAD1200                 BottomLayer TPAD1200                      2602.362      909.449       90       "1.2mm round"                                                                                                                                    
TP15       TPAD1200                 BottomLayer TPAD1200                      3629.921      232.284       90       "1.2mm round"                                                                                                                                    
TP14       TPAD1200                 BottomLayer TPAD1200                      3531.496      236.220       90       "1.2mm round"                                                                                                                                    
TP13       TPAD1200                 BottomLayer TPAD1200                      3338.583      236.220       90       "1.2mm round"                                                                                                                                    
TP12       TPAD1200                 BottomLayer TPAD1200                      3433.071      236.220       90       "1.2mm round"                                                                                                                                    
TP11       TPAD1200                 BottomLayer TPAD1200                      3255.905      2401.575      90       "1.2mm round"                                                                                                                                    
TP7        TPAD1200                 BottomLayer TPAD1200                      3354.331      2401.575      90       "1.2mm round"                                                                                                                                    
TP6        TPAD1200                 BottomLayer TPAD1200                      2574.803      1370.079      270      "1.2mm round"                                                                                                                                    
R14        RC0603FR-07100RL         TopLayer    RES_0603_1608                 3181.102      464.567       90       "RES 100 OHM 1% 1/10W 0603"                                                                                                                      
D24        US1M-13-F                TopLayer    DO214AC_SMA                   255.905       787.402       180      "DIODE GEN PURP 1KV 1A SMA"                                                                                                                      
BT1        CR2032-BS-6-1            BottomLayer CR2032BS61                    1094.488      3311.024      270      "Battery Holders"                                                                                                                                
C120       VPDD202W102K1GV001E      TopLayer    CAP_1206_3216_-_0.8MM         5007.874      1559.055      0        "CAP CER 1000PF 2KV X7R 1206"                                                                                                                    
J9         B2B-XH-A(LF)(SN)         TopLayer    JST_XH_B2B-XH-A               169.291       3629.921      90       "CONN HEADER VERT 2POS 2.5MM"                                                                                                                    
C21        UUX2A220MNL1GS           TopLayer    CAPAE1030X1050N               610.236       4027.559      90       "Capacitor Alu SMD -55C to 105C 100V 22"                                                                                                         
J1         J1B1211CCD               TopLayer    FP-J1B1211CCD-MFG             5275.394      1133.858      90       "CONN JACK 1PORT 100 BASE-T PCB"                                                                                                                 
J7         B2B-XH-A(LF)(SN)         TopLayer    JST_XH_B2B-XH-A               5374.016      2175.197      270      "CONN HEADER VERT 2POS 2.5MM"                                                                                                                    
J6         MJ3230-88-GG-2           TopLayer    MJ323088GG2                   5368.898      2788.901      90       "Jack Modular Connector 1 Port 8p8c (RJ45, Ethernet) 90° Angle (Right) Shielded, EMI Finger"                                                     
J5         MJ3230-88-GG-2           TopLayer    MJ323088GG2                   5368.898      3643.701      90       "Jack Modular Connector 1 Port 8p8c (RJ45, Ethernet) 90° Angle (Right) Shielded, EMI Finger"                                                     
J4         B8B-XH-A(LF)(SN)         TopLayer    JST_XH_B8B-XH-A               3482.284      133.858       180      "CONN HEADER VERT 8POS 2.5MM"                                                                                                                    
U21        IS181D                   TopLayer    4-SMD                         255.905       1456.693      180      "Optoisolator Transistor Output 3750Vrms 1 Channel"                                                                                              
S1         PTS636SL43SMTRLFS        TopLayer    SPST-NO_2_Pin                 2753.819      1465.158      270      "Keypad Switch, 1 Switches, SPST, Momentary-tactile, 0.05A, 12VDC, 1.77N, Solder Terminal, Surface Mount-straight"                               
R100       RC0603FR-0710KL          TopLayer    RES_0603_1608                 472.441       1141.732      180      "RES 10K OHM 1% 1/10W 0603"                                                                                                                      
R99        RC0603FR-0722RL          TopLayer    RES_0603_1608                 472.441       1062.992      0        "RES 22 OHM 1% 1/10W 0603"                                                                                                                       
R98        RC0603FR-0710KL          TopLayer    RES_0603_1608                 374.016       1751.968      180      "RES 10K OHM 1% 1/10W 0603"                                                                                                                      
R96        RC0603FR-07220RL         TopLayer    RES_0603_1608                 472.441       1456.693      270      "RES 220 OHM 1% 1/10W 0603"                                                                                                                      
R94        RC0603FR-074K7L          TopLayer    RES_0603_1608                 94.488        1633.858      90       "RES 4.7K OHM 1% 1/10W 0603"                                                                                                                     
R93        RC1206FR-07100RL         TopLayer    RES_1206_3216                 125.984       925.197       0        "RES 100 OHM 1% 1/4W 1206"                                                                                                                       
R92        RC0603FR-07100RL         TopLayer    RES_0603_1608                 1633.858      1236.220      270      "RES 100 OHM 1% 1/10W 0603"                                                                                                                      
R91        RC0603FR-071KL           TopLayer    RES_0603_1608                 1696.850      1236.220      270      "RES 1K OHM 1% 1/10W 0603"                                                                                                                       
R90        RC0603FR-07100RL         TopLayer    RES_0603_1608                 1637.795      1618.110      270      "RES 100 OHM 1% 1/10W 0603"                                                                                                                      
R89        RC0603FR-070RL           TopLayer    RES_0603_1608                 1283.465      314.961       0        "RES 0 OHM JUMPER 1/10W 0603"                                                                                                                    
Q14        DMN63D8L-7               TopLayer    SOT-23-3                      472.441       1259.842      90       "N-Channel 30 V 350mA (Ta) 350mW (Ta) Surface Mount SOT-23-3"                                                                                    
Q13        BUK98180-100A/CUX        TopLayer    FP-SOT223-MFG                 255.905       1181.102      90       "Power Field-Effect Transistor, 4.6A I(D), 100V, 0.201ohm, 1-Element, N-Channel, Silicon, Metal-oxide Semiconductor FET"                         
P5         662010236022             TopLayer    662010236022                  767.716       396.457       0        ""                                                                                                                                               
P4         662012236022             TopLayer    662012236022                  1884.252      391.732       0        ""                                                                                                                                               
J3         B4B-XH-A(LF)(SN)         TopLayer    JST_XH_B4B-XH-A               169.291       2875.984      90       "CONN HEADER VERT 4POS 2.5MM"                                                                                                                    
FB5        MPZ1608S101ATAH0         TopLayer    FER_0603_1608                 2578.740      1220.472      270      "FERRITE BEAD 100 OHM 0603 1LN"                                                                                                                  
D23        BZT52C15-7-F             TopLayer    SOD-123                       334.646       1633.858      0        "Zener Diode 15 V 500 mW ±6% Surface Mount SOD-123"                                                                                              
D22        US1M-13-F                TopLayer    DO214AC_SMA                   728.346       787.402       180      "DIODE GEN PURP 1KV 1A SMA"                                                                                                                      
C168       C1206C102KMREC7800       TopLayer    CAP_1206_3216_-_0.8MM         403.543       925.197       0        "CAP CER 1206 1NF 63V X7R 10%"                                                                                                                   
C167       CL10B103KB8NNNC          TopLayer    CAP_0603_1608                 161.417       1633.858      270      "CAP CER 10000PF 50V X7R 0603"                                                                                                                   
C27        CL10A106MQ8NNNC          TopLayer    CAP_0603_1608                 2515.748      1220.472      270      "CAP CER 10UF 6.3V X5R 0603"                                                                                                                     
C19        CC0603JRX7R9BB104        TopLayer    CAP_0603_1608                 2641.732      1220.472      90       "CAP CER 0.1UF 50V X7R 0603"                                                                                                                     
U12        IS181D                   TopLayer    4-SMD                         707.677       1456.693      180      "Optoisolator Transistor Output 3750Vrms 1 Channel"                                                                                              
R64        RC0603FR-0710KL          TopLayer    RES_0603_1608                 944.488       1141.732      180      "RES 10K OHM 1% 1/10W 0603"                                                                                                                      
R63        RC0603FR-0722RL          TopLayer    RES_0603_1608                 944.488       1062.992      0        "RES 22 OHM 1% 1/10W 0603"                                                                                                                       
R62        RC0603FR-0710KL          TopLayer    RES_0603_1608                 826.772       1751.968      180      "RES 10K OHM 1% 1/10W 0603"                                                                                                                      
R35        RC0603FR-07220RL         TopLayer    RES_0603_1608                 944.882       1456.693      270      "RES 220 OHM 1% 1/10W 0603"                                                                                                                      
R31        RC0603FR-074K7L          TopLayer    RES_0603_1608                 551.181       1633.858      90       "RES 4.7K OHM 1% 1/10W 0603"                                                                                                                     
R19        RC1206FR-07100RL         TopLayer    RES_1206_3216                 600.394       925.197       0        "RES 100 OHM 1% 1/4W 1206"                                                                                                                       
Q12        DMN63D8L-7               TopLayer    SOT-23-3                      944.882       1259.842      90       "N-Channel 30 V 350mA (Ta) 350mW (Ta) Surface Mount SOT-23-3"                                                                                    
Q11        BUK98180-100A/CUX        TopLayer    FP-SOT223-MFG                 707.087       1181.102      90       "Power Field-Effect Transistor, 4.6A I(D), 100V, 0.201ohm, 1-Element, N-Channel, Silicon, Metal-oxide Semiconductor FET"                         
D20        BZT52C15-7-F             TopLayer    SOD-123                       795.276       1633.858      0        "Zener Diode 15 V 500 mW ±6% Surface Mount SOD-123"                                                                                              
D14        US1M-13-F                TopLayer    DO214AC_SMA                   1200.787      787.402       180      "DIODE GEN PURP 1KV 1A SMA"                                                                                                                      
C163       CL10B103KB8NNNC          TopLayer    CAP_0603_1608                 614.173       1633.858      270      "CAP CER 10000PF 50V X7R 0603"                                                                                                                   
C134       C1206C102KMREC7800       TopLayer    CAP_1206_3216_-_0.8MM         866.142       925.197       0        "CAP CER 1206 1NF 63V X7R 10%"                                                                                                                   
Q4         BUK98180-100A/CUX        TopLayer    FP-SOT223-MFG                 1200.787      1181.102      90       "Power Field-Effect Transistor, 4.6A I(D), 100V, 0.201ohm, 1-Element, N-Channel, Silicon, Metal-oxide Semiconductor FET"                         
D13        MM3Z3V3T1G               TopLayer    ONSC-SOD-323-2-477-02_V       2417.323      1425.197      90       "Zener Voltage Regulator, 300 mW, 2-Pin SOD-323, Pb-Free, Tape and Reel"                                                                         
B1         TMB12A05                 TopLayer    BUZZER_12mm                   3287.402      1303.150      0        "Active (driven circuit included) 85dB@5V, Magnetic 2.7kHz Plugin,D=12mm Buzzers ROHS"                                                           
TP10       TPAD1200                 BottomLayer TPAD1200                      746.203       2907.340      0        "1.2mm round"                                                                                                                                    
TP9        TPAD1200                 BottomLayer TPAD1200                      2720.472      2918.035      90       "1.2mm round"                                                                                                                                    
Y1         XRCGB24M000F3M00R0       TopLayer    FP-XRCGB_F_N-MFG              1862.205      2011.811      315      "CRYSTAL 24.0000MHZ 6PF SMD"                                                                                                                     
C6         CL10C060DB8NNNC          TopLayer    CAP_0603_1608                 1748.032      1992.126      135      "CAP CER 6PF 50V C0G/NP0 0603"                                                                                                                   
C7         CL10C060DB8NNNC          TopLayer    CAP_0603_1608                 1830.709      1909.449      315      "CAP CER 6PF 50V C0G/NP0 0603"                                                                                                                   
TP8        TPAD1200                 BottomLayer TPAD1200                      4074.803      3622.047      180      "1.2mm round"                                                                                                                                    
TP4        TPAD1200                 BottomLayer TPAD1200                      3945.827      3267.087      90       "1.2mm round"                                                                                                                                    
TP5        TPAD1200                 BottomLayer TPAD1200                      3751.968      2877.953      90       "1.2mm round"                                                                                                                                    
TP3        TPAD1200                 BottomLayer TPAD1200                      3330.709      3826.772      90       "1.2mm round"                                                                                                                                    
TP2        TPAD1200                 BottomLayer TPAD1200                      350.394       3405.512      90       "1.2mm round"                                                                                                                                    
TP1        TPAD1200                 BottomLayer TPAD1200                      2520.630      3141.312      90       "1.2mm round"                                                                                                                                    
C191       CL10C101JB81PNC          TopLayer    CAP_0603_1608                 2041.339      1149.606      0        "CAP CER 100PF 50V C0G/NP0 0603"                                                                                                                 
R2         RC0603FR-07100KL         TopLayer    RES_0603_1608                 3169.291      2352.362      180      "RES 100K OHM 1% 1/10W 0603"                                                                                                                     
C164       T491A106K010AT7280       TopLayer    CAP_POL_1206_3216             4594.488      763.779       270      "CAP TANT 10UF 10% 10V 1206"                                                                                                                     
C181       CC0603JRX7R9BB104        TopLayer    CAP_0603_1608                 4346.457      1488.189      270      "CAP CER 0.1UF 50V X7R 0603"                                                                                                                     
FB26       MPZ1608S101ATAH0         TopLayer    FER_0603_1608                 3717.519      1377.953      0        "FERRITE BEAD 100 OHM 0603 1LN"                                                                                                                  
C180       C0603C102K5RACAUTO7411   TopLayer    CAP_0603_1608                 1915.354      1370.079      270      "CAP CER 1000PF 50V X7R 0603"                                                                                                                    
J2         B2B-XH-A(LF)(SN)         TopLayer    JST_XH_B2B-XH-A               5374.016      1787.402      270      "CONN HEADER VERT 2POS 2.5MM"                                                                                                                    
Y3         ABM8G-25.000MHZ-18-D2Y-T TopLayer    FP-ABM8G-MFG                  3724.410      1062.992      90       "Crystal 25MHz ±20ppm (Tol) ±30ppm (Stability) 18pF FUND 60? 4-Pin SMD T/R"                                                                      
ST4        PTH-M3D6X6               TopLayer    PTH-3M2D6X6                   137.795       137.795       0        "M3 PTH (3.2mm), 6mm pad"                                                                                                                        
ST3        PTH-M3D6X6               TopLayer    PTH-3M2D6X6                   5570.866      137.795       0        "M3 PTH (3.2mm), 6mm pad"                                                                                                                        
ST2        PTH-M3D6X6               TopLayer    PTH-3M2D6X6                   5570.866      4192.913      0        "M3 PTH (3.2mm), 6mm pad"                                                                                                                        
ST1        PTH-M3D6X6               TopLayer    PTH-3M2D6X6                   137.795       4192.913      0        "M3 PTH (3.2mm), 6mm pad"                                                                                                                        
R188       RC0603FR-0710KL          TopLayer    RES_0603_1608                 1437.008      1141.732      180      "RES 10K OHM 1% 1/10W 0603"                                                                                                                      
R186       RC0603FR-0722RL          TopLayer    RES_0603_1608                 1437.008      1062.992      0        "RES 22 OHM 1% 1/10W 0603"                                                                                                                       
R185       RC0603FR-07100RL         TopLayer    RES_0603_1608                 1992.126      2763.779      135      "RES 100 OHM 1% 1/10W 0603"                                                                                                                      
R184       RC0603FR-07100RL         TopLayer    RES_0603_1608                 1732.284      1618.110      270      "RES 100 OHM 1% 1/10W 0603"                                                                                                                      
R183       RC0603FR-07100RL         TopLayer    RES_0603_1608                 1830.709      1614.173      270      "RES 100 OHM 1% 1/10W 0603"                                                                                                                      
R182       RC0603FR-07100RL         TopLayer    RES_0603_1608                 1929.134      1614.173      270      "RES 100 OHM 1% 1/10W 0603"                                                                                                                      
R177       RC0603FR-071KL           TopLayer    RES_0603_1608                 2133.858      1039.370      270      "RES 1K OHM 1% 1/10W 0603"                                                                                                                       
R176       RC0603FR-07100RL         TopLayer    RES_0603_1608                 2196.850      928.149       270      "RES 100 OHM 1% 1/10W 0603"                                                                                                                      
R166       RC0603FR-0710KL          TopLayer    RES_0603_1608                 872.047       2525.590      180      "RES 10K OHM 1% 1/10W 0603"                                                                                                                      
R154       RC0603FR-0710KL          TopLayer    RES_0603_1608                 872.047       2181.102      180      "RES 10K OHM 1% 1/10W 0603"                                                                                                                      
R153       RC0603FR-0722RL          TopLayer    RES_0603_1608                 4679.134      1019.685      0        "RES 22 OHM 1% 1/10W 0603"                                                                                                                       
R151       RC0603FR-0722RL          TopLayer    RES_0603_1608                 4679.134      956.693       0        "RES 22 OHM 1% 1/10W 0603"                                                                                                                       
FB4        MPZ1608S101ATAH0         TopLayer    FER_0603_1608                 872.047       2387.795      180      "FERRITE BEAD 100 OHM 0603 1LN"                                                                                                                  
D18        PESD3V3L1BA,115          TopLayer    SOD-323                       2149.606      826.772       0        "26V Clamp 18A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                                                                     
C179       C0603C102K5RACAUTO7411   TopLayer    CAP_0603_1608                 2196.850      1038.386      90       "CAP CER 1000PF 50V X7R 0603"                                                                                                                    
C177       CL10B103KB8NNNC          TopLayer    CAP_0603_1608                 2133.858      929.134       90       "CAP CER 10000PF 50V X7R 0603"                                                                                                                   
C176       CL10A106MQ8NNNC          TopLayer    CAP_0603_1608                 1838.583      1264.764      270      "CAP CER 10UF 6.3V X5R 0603"                                                                                                                     
C175       CC0603JRX7R9BB104        TopLayer    CAP_0603_1608                 1838.583      1378.937      90       "CAP CER 0.1UF 50V X7R 0603"                                                                                                                     
C174       CC0603JRX7R9BB104        TopLayer    CAP_0603_1608                 4279.528      1488.189      270      "CAP CER 0.1UF 50V X7R 0603"                                                                                                                     
C171       CC0603JRX7R9BB104        TopLayer    CAP_0603_1608                 4114.173      1488.189      270      "CAP CER 0.1UF 50V X7R 0603"                                                                                                                     
C160       CL31B475KBHNNNE          TopLayer    CAP_1206_3216_-_0.8MM         4196.850      1496.063      270      "CAP CER 4.7UF 50V X7R 1206"                                                                                                                     
C158       CL10B103KB8NNNC          TopLayer    CAP_0603_1608                 4047.244      1488.189      270      "CAP CER 10000PF 50V X7R 0603"                                                                                                                   
C122       CC0603JRX7R9BB104        TopLayer    CAP_0603_1608                 405.512       2948.819      0        "CAP CER 0.1UF 50V X7R 0603"                                                                                                                     
C133       CC0603JRX7R9BB104        TopLayer    CAP_0603_1608                 1685.039      1047.244      90       "CAP CER 0.1UF 50V X7R 0603"                                                                                                                     
R128       RC0603FR-0749R9L         TopLayer    RES_0603_1608                 4767.717      933.071       270      "RES 49.9 OHM 1% 1/10W 0603"                                                                                                                     
R127       RC0603FR-0710KL          TopLayer    RES_0603_1608                 4114.173      673.228       270      "RES 10K OHM 1% 1/10W 0603"                                                                                                                      
C204       CC0603JRX7R9BB104        TopLayer    CAP_0603_1608                 1767.716      1039.370      270      "CAP CER 0.1UF 50V X7R 0603"                                                                                                                     
R17        RC0603FR-0710KL          TopLayer    RES_0603_1608                 4177.165      673.228       270      "RES 10K OHM 1% 1/10W 0603"                                                                                                                      
C24        T491A106K010AT7280       TopLayer    CAP_POL_1206_3216             2853.898      1866.536      45       "CAP TANT 10UF 10% 10V 1206"                                                                                                                     
C23        CL10A106MQ8NNNC          TopLayer    CAP_0603_1608                 2794.843      1925.591      225      "CAP CER 10UF 6.3V X5R 0603"                                                                                                                     
P2         662004236022             TopLayer    662004236022                  2688.976      393.701       0        ""                                                                                                                                               
C22        T491A106K010AT7280       TopLayer    CAP_POL_1206_3216             2811.626      2174.658      45       "CAP TANT 10UF 10% 10V 1206"                                                                                                                     
L4         744242471                TopLayer    WE-SLM_L6W3.3H3.3             4750.984      2178.543      0        "744242471 Common Mode Chokes Dual 470uH 2.2kOhm 100kHz 400mA 350mOhm DCR SMD T/R"                                                               
R174       RC0603FR-070RL           TopLayer    RES_0603_1608                 4751.968      1681.102      0        "RES 0 OHM JUMPER 1/10W 0603"                                                                                                                    
R15        RC0603FR-070RL           TopLayer    RES_0603_1608                 4748.032      2291.339      0        "RES 0 OHM JUMPER 1/10W 0603"                                                                                                                    
L5         744242471                TopLayer    WE-SLM_L6W3.3H3.3             4754.921      1793.898      0        "744242471 Common Mode Chokes Dual 470uH 2.2kOhm 100kHz 400mA 350mOhm DCR SMD T/R"                                                               
C90        CC0603JRX7R9BB104        TopLayer    CAP_0603_1608                 2897.638      1220.472      90       "CAP CER 0.1UF 50V X7R 0603"                                                                                                                     
C102       CL10B103KB8NNNC          TopLayer    CAP_0603_1608                 4677.165      1342.515      180      "CAP CER 10000PF 50V X7R 0603"                                                                                                                   
C203       CC0603JRX7R9BB104        TopLayer    CAP_0603_1608                 3043.307      3562.992      90       "CAP CER 0.1UF 50V X7R 0603"                                                                                                                     
C202       C0603C102K5RACAUTO7411   TopLayer    CAP_0603_1608                 3169.291      3110.236      270      "CAP CER 1000PF 50V X7R 0603"                                                                                                                    
C201       C0603C102K5RACAUTO7411   TopLayer    CAP_0603_1608                 3169.291      3409.449      270      "CAP CER 1000PF 50V X7R 0603"                                                                                                                    
C200       CL10B103KB8NNNC          TopLayer    CAP_0603_1608                 3433.071      3917.323      90       "CAP CER 10000PF 50V X7R 0603"                                                                                                                   
